custName,InvcNum,DueDate,Rep1Id,CustPhone,Email,Addr1,Addr2,City,Region,PostalCode,CustFax,ShipToName,ShipToAddr1,ShipToAddr2,ShipToCity,ShipToRegion,ShipToPostalCode,ShipToContact,ShipPhone
1572592 Alberta LTD,122685,10/13/2023,TS,4165530673,,3805 MacNeil Heath,,Edmonton,AB,T6R0H5,,"Wendy's 06816 Stony Plain, AB",3007 43rd Ave,,Stony Plain,AB,T7Z1M5,Store Manager,
1931309 Ontario Inc.,122055,10/12/2023,TS,7052670314,kathryn@compassrestaurants.com#mailto:kathryn@compassrestaurants.com,230 Cedar St. S.,,Timmons,ON,P4N2H1,,"Wendy's site 06147 Welland, ON",95 Lincoln St,,Welland,ON,L3C7C3,Store Manager,
"A.E. WEN Enterprises, Inc.",122278,10/5/2023,TS,9052646672,peter@sparkleventures.com#mailto:peter@sparkleventures.com,27 Roytec Road,Unit 7C,Vaughn,ON,L4L8E3,,Wendy's Site 06190,1200 King St West,,Toronto,ON,M6K1G4,Store Manager,
Amaash Corporation,122366,8/11/2023,TS,4088437303,jose@amaashcorp.com#mailto:jose@amaashcorp.com,1106 Germano Way,,Pleasanton,CA,94566,,Amaash Corporation,1106 Germano Way,,Pleasanton,CA,94566,,9258461005
A-O-K Maintenance Inc.,122670,9/14/2023,TS,5137726161,aok@aokmaintenance.com#mailto:aok@aokmaintenance.com,492 West Sharon Road,,Cincinnati,OH,45246,5137721624,A-O-K Maintenance Inc.,492 West Sharon Road,,Cincinnati,OH,45246,,5137726161
"Black Star Management, ULC",119181,9/15/2023,TS,5193184142,Michael@wendys1.com#mailto:Michael@wendys1.com,317 Wesley Street,,Rochester,MI,48307,,"Wendy's Site 06023 Strathroy, ON",28610 Centre Rd,,Strathroy,ON,N7G3H6,Store Manager,
Bon Jour Café,122320,8/21/2023,JD,6143234161,bonjourcafeusa@gmail.com#mailto:bonjourcafeusa@gmail.com,330 S. High St.,,Columbus,OH,43215,,Bon Jour Café,1450 Polaris Pkwy,,Columbus,OH,43240,,6143234161
Buckeye Poured Walls,122606,8/16/2023,SHOWROOM,6147747100,,P.O. BOX 21232,.,Columbus,OH,43221,.,"Truck Pro Enterprises, Inc",7777 Cimarron Rd,.,Mt. Perry,OH,43760,Joey Chambers,
"Carolina Restaurant Group, Inc.",122424,8/28/2023,TS,7049401509,kmarsh@classicburgers.com#mailto:kmarsh@classicburgers.com,"8040 Arrowridge Blvd., Ste 200",,Charlotte,NC,28273,7045252081,"Wendy's site 14042 Orangeburg, SC",Five Chop Rd,,Orangeburg,SC,29115,Store Manager,
CLM Midwest,122489,8/28/2023,TS,7088512623,mphifer@clmmidwest.com#mailto:mphifer@clmmidwest.com,2655 Erie St,,River Grove,IL,60171,7344146002,"CVS # 4309 Cuyahoga Falls, OH",1711 State Rd,,Cuyahoga Falls,OH,44223,,3309294203
CLM Midwest,122692,9/18/2023,TS,7086070022,ssacco@clmmidwest.com#mailto:ssacco@clmmidwest.com,2655 Erie St,,River Grove,IL,60171,7344146002,CVS 4445 Fort Shawnee - OH,2620 Breese Road,,Fort Shawnee,OH,45806,Store Manager,4199910010
Coldwell Banker,122732,8/25/2023,ONLINE,5136588478,Meg.perez@cbrealty.com,6123 Madison Rd,Unit A,CINCINNATI,Ohio,45227,,- Meg Perez,6123 Madison Rd,Unit A,CINCINNATI,OH,45227,,
Coldwell Banker Realty,122478,8/25/2023,JP,6148800808,,,,Columbus,OH,43221,,Coldwell Banker Realty,8800 Lyra Dr. Ste. 600,,Columbus,OH,43240,Sarah Tolson,6148800808
ComFab,122079,8/6/2023,TS,7408571107,a.stonerock@comfab-inc.com#mailto:a.stonerock@comfab-inc.com,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,122220,8/21/2023,TS,7408571107,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,122280,8/29/2023,TS,7408571107,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,122281,8/29/2023,TS,7408571107,,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
ComFab,122364,9/12/2023,TS,7408571107,a.stonerock@comfab-inc.com#mailto:a.stonerock@comfab-inc.com,3200 Valleyview Drive,,Columbus,OH,43204,7408571757,COM FAB/RTA,3200 Valleyview Drive,,Columbus,Oh,43204,,7408571107
