custName,InvcNum,DueDate,Rep1Id,CustPhone,Email,Addr1,Addr2,City,Region,PostalCode,CustFax,ShipToName,ShipToAddr1,ShipToAddr2,ShipToCity,ShipToRegion,ShipToPostalCode,ShipToContact,ShipPhone
Aamco (Ocala),122409,8/31/2023,OIC,3869715740,rgoldberg@aamco1.com#mailto:rgoldberg@aamco1.com,PO Box 148,,Flagler Beach,FL,32136,,AAMCO,661 SW 17th Loop,,Ocala,FL,34471,Robert OR Paul Goldgerg,
Allen Industries (OH),2899-2,9/1/2023,OIC,5674087509,jay.prots@allenindustries.com#mailto:jay.prots@allenindustries.com,7844 West Central Avenue,,Toledo,OH,43617,,Allen Industries / Checkers #6264,575 W International Blvd,,Daytona Beach,FL,32114,,
Allen Industries (OH),2901-2,10/9/2023,OIC,5674087509,jay.prots@allenindustries.com#mailto:jay.prots@allenindustries.com,7844 West Central Avenue,,Toledo,OH,43617,,Allen Industries (OH) / Checkers #6316,13495 W Colonial Drive,,Winter Garden,FL,34787,,
Allen Industries (OH),2903-2,9/22/2023,OIC,5674087509,jay.prots@allenindustries.com#mailto:jay.prots@allenindustries.com,7844 West Central Avenue,,Toledo,OH,43617,,Allen Industries (OH) / Checkers #6312,1239 Silver Springs Blvd.,,Ocala,FL,34470,,
Cardiovascular Institute,122690,9/8/2023,OIC,3526224251,ksimmons@cvicfl.com#mailto:ksimmons@cvicfl.com,2111 SW 20th Place,,Ocala,FL,34471,,Caridovascular Institute of Central FL,6555 SW SR 200,,Ocala,FL,34476,,
Commonwealth Sign Co,122407-2,9/26/2023,OIC,5023687554,kinsey@commonwealthsign.com#mailto:kinsey@commonwealthsign.com,1824 Berry Blvd.,,Louisville,KY,40215,,Commonwealth Sign Co / IVX Health,3701 SW College Road,Suite #102,Ocala,FL,34474,,
"Cummings Resources, L.L.C.",2992-2,10/5/2023,OIC,6156220455,Joey.Blackwell@cummingssigns.com#mailto:Joey.Blackwell@cummingssigns.com,15 Century Blvd Suite 200,Suite 200,Nashville,TN,37214,,Cummings / 7-11 #32409,2980 Hwy A1A,,Melbourne Beach,FL,32951,,
"Custom Sign Center, Inc",103482-2,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #04730,9301 Knights Drive,,Punta Gorda,FL,33950,,
"Custom Sign Center, Inc",103720-1,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #01316,1601 Del Prado Blvd. South,,Cape Coral,FL,33990,,
"Custom Sign Center, Inc",106511-5,9/18/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #01766,1830 US Highway 1 South,,St. Augustine,FL,32084,,
"Custom Sign Center, Inc",114248-2,9/12/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #00202,8330 N. Florida Avenue,,Tampa,FL,33604,,
"Custom Sign Center, Inc",116148-2,9/26/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #04722,606 East 10th St.,,Palmetto,FL,34221,,
"Custom Sign Center, Inc",118622-1,8/28/2023,OIC,6143004263,teryl@customsigncenter.com#mailto:teryl@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #13266,15508 Stoneybrook W. Pkwy,,Winter Garden,FL,34787,,
"Custom Sign Center, Inc",119321-2,11/6/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,"Custom Sign Center, Inc",3200 Valleyview Drive,,Columbus,OH,43204,,6142796700
"Custom Sign Center, Inc",120625,9/29/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #00334,13750 N. Cleveland Avenue,HURRICANE IAN DAMAGE,North Ft.Myers,FL,33902,,
"Custom Sign Center, Inc",120721,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #07949,14890 Six Mile Cypress Pkwy.,,Ft. Myers,FL,33912,,
"Custom Sign Center, Inc",120735,9/29/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #01638,9301 Daniels Parkway,,Ft. Myers,FL,33912,,
"Custom Sign Center, Inc",121816,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #14159,28090 Quails Nest Lane,,Bonita Springs,FL,34135,,
"Custom Sign Center, Inc",121819,10/2/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #14047,13140 South Tamiami Trail,,Osprey,FL,34229,,
"Custom Sign Center, Inc",121826,9/26/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #13281,16991 Three Oaks Marketplace,Drive,Ft. Myers,FL,33912,,
"Custom Sign Center, Inc",122199,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #09167,13417 S. McCall Road,,Pt. Charlotte,FL,33981,,
"Custom Sign Center, Inc",122405,9/25/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,"Custom Sign Center, Inc",3200 Valleyview Drive,,Columbus,OH,43204,,6142796700
"Custom Sign Center, Inc",122425,11/13/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #08445,1856 NE Miami Gardens Drive,,North Miami Beach,FL,33179,,
"Custom Sign Center, Inc",122587,9/12/2023,OIC,6143004236,james@customsigncenter.com#mailto:james@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Tire Choice #1268,4060 S. Tamiami Trail,,Venice,Florida,34293,,
"Custom Sign Center, Inc",122687,9/15/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #01757,1608 S. Dixie Freeway,,New Smyrna Beach,FL,32168,,
"Custom Sign Center, Inc",2659-2,9/6/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #11284,12524 San Jose Blvd.,,Jacksonville,FL,32223,,
"Custom Sign Center, Inc",2730,12/29/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #07391,9960 West Oakland Park Blvd.,,Sunrise,FL,33351,,
"Custom Sign Center, Inc",2743-2,9/8/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,"Custom Sign Center, Inc",3200 Valleyview Drive,,Columbus,OH,43204,,6142796700
"Custom Sign Center, Inc",2744-3,9/7/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #00495,1501 E. Hillsborough Avenue,,Tampa,FL,33610,,
"Custom Sign Center, Inc",2745-2,9/8/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #07705,1615 W. Kennedy Blvd.,,Tampa,FL,33606,,
"Custom Sign Center, Inc",2823,9/29/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #08565,8661 Commons Way,,Estero,FL,33928,,
"Custom Sign Center, Inc",2824,9/29/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #02008,14491 Palm Beach Blvd.,,Fort Myers,FL,33905,,
"Custom Sign Center, Inc",2965,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,CSC / Wendy's #05086,15021 Tamiami Trail,,North Port,FL,34287,,
"Custom Sign Center, Inc",99365-3,8/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #00523,3206 NW Tamiami Trail,,Port Charlotte,FL,33952,,
"Custom Sign Center, Inc",99365-4,11/23/2023,OIC,6142796700,michael@customsigncenter.com#mailto:michael@customsigncenter.com,3200 Valleyview Drive,,Columbus,OH,43204,6142797525,Custom Sign Center / Wendy's #00523,3206 NW Tamiami Trail,,Port Charlotte,FL,33952,,
Design Display,121829,9/20/2023,OIC,8002398340,eric.colee@designdisplay.com#mailto:eric.colee@designdisplay.com,351 Industrial Drive,,Birmingham,AL,35211,,Design Display / Motion Industries,2020 N. Rio Grande Avenue,,Orlando,FL,32804,,
Fast Payday Loans,122688,8/31/2023,OIC,9543007442,nalmonte@clacorp.com#mailto:nalmonte@clacorp.com,2705 NW 10th St.,,Ocala,FL,34475,,Fast Payday Loans,2705 NW 10th St.,,Ocala,FL,34475,,9543007442
"Florida Coast Equipment, Inc.",122588,9/22/2023,OIC,5612092705,JWatson@FloridaCoastEq.com#mailto:JWatson@FloridaCoastEq.com,5211 FL-40,,Ocala,FL,34482,,"Florida Coast Equipment, Inc.",5211 FL-40,,Ocala,FL,34482,,5612092705
Identicom Sign Solutions,,8/23/2023,OIC,2482449590,,24657 Halsted Road,,Farmington Hills,MI,48335,2489464198,Identicom Sign Solutions / Dogtopia,2320 E. Semoran Blvd.,,Apopka,FL,32703,,
Identicom Sign Solutions,121375-3,9/8/2023,OIC,2482449590,amandas@identicomsigns.com#mailto:amandas@identicomsigns.com,24657 Halsted Road,,Farmington Hills,MI,48335,2489464198,Identicom Sign Solutions / Dogtopia,2320 E. Semoran Blvd.,,Apopka,FL,32703,,
Identicom Sign Solutions,121375-4,8/23/2023,OIC,2482449590,,24657 Halsted Road,,Farmington Hills,MI,48335,2489464198,Identicom Sign Solutions / Dogtopia,2320 E. Semoran Blvd.,,Apopka,FL,32703,,
Identiti Resources Limited,121558-2,9/27/2023,OIC,8473494603,JVargas@identiti.net#mailto:JVargas@identiti.net,1201 Wiley Road,Suite 150,Schaumburg,IL,60173,8473010518,Identiti / Magnolia Wash Holdings / Whistel Express,4860 N. Wickham Road,,Melbourne,FL,32940,,
Persona,122408,10/20/2023,OIC,8008439888,BMarkegard@personasigns.com#mailto:BMarkegard@personasigns.com,700 21st Street Southwest,PO Box 210,Watertown,FL,572010210,,Personal / Tint World,3945 W. Eau Gallie Blvd.,Units 102 & 103 -- Edge at Eue Gallie Pointew S/C,Melbourne,FL,32934,,
Phone Fashion,122202,8/7/2023,OIC,4253288081,phonefashion14@yahoo.com#mailto:phonefashion14@yahoo.com,4900 SW 46th Court,#1105,Ocala,FL,34474,,Phone Fashion / I Fix & Repair,3227 SW 35th Blvd,,Gainesville,FL,32608,,
Principle Global,121187,9/11/2023,OIC,8657735376,laura.beardsley@principleglobal.com#mailto:laura.beardsley@principleglobal.com,2035 Lakeside Centre Way,Ste. 250,Knoxville,TN,37922,,Principle Global / Tesla (Orlando - JYP),2140 N. John Young Parkway,,Orlando,FL,32804,,
