custName,InvcNum,DueDate,Rep1Id,CustPhone,Email,Addr1,Addr2,City,Region,PostalCode,CustFax,ShipToName,ShipToAddr1,ShipToAddr2,ShipToCity,ShipToRegion,ShipToPostalCode,ShipToContact,ShipPhone
1426591 Ontario Inc.,99704-2,11/29/2023,TS,5198299919,jercas@rogers.com#mailto:jercas@rogers.com,415 Woodlawn Road West,,Guelph,,N1H7M1,,Wendy's Site #06302,292 Stone Road,,Guelph,ON,N1G3C4,,5195765800
1572592 Alberta LTD,122685,1/15/2024,TS,4165530673,,3805 MacNeil Heath,,Edmonton,AB,T6R0H5,,"Wendy's 06816 Stony Plain, AB",3007 43rd Ave,,Stony Plain,AB,T7Z1M5,Store Manager,
"A.E. WEN Enterprises, Inc.",122822-1,12/18/2023,TS,9052646672,peter@sparkleventures.com#mailto:peter@sparkleventures.com,1839 Albion Rd. Unit #1,Unit #1,Etobicoke,ON,M9W5S8,,"Wendy's site 06760 Toronto, ON",6464 Yonge St.,,Toronto,ON,M2M3X4,,
Amaash Corporation,123274,11/29/2023,TS,4088437303,jose@amaashcorp.com#mailto:jose@amaashcorp.com,1106 Germano Way,,Pleasanton,CA,94566,,"Wendy's Site #04688 Fairfield, CA",4447 Central Place,,Fairfield,CA,94534,Store Manager,
B.F. St. Louis,111244-1,11/28/2023,TS,6362481130,gthompson@bfcompanies.com#mailto:gthompson@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40223,,"WEN #11161 O'Fallon, MO",4210 Highway K,,O'Fallon,MO,63368,,
B.F. St. Louis,113055-3,11/21/2023,TS,6362481130,gthompson@bfcompanies.com#mailto:gthompson@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40223,,Wendy's Site #11164 St. Charles - MO,2760 Muegge Road,,St. Charles,MO,63303,Store Manager,
B.F. St. Louis,120426-4,11/21/2023,TS,6362481130,gthompson@bfcompanies.com#mailto:gthompson@bfcompanies.com,3309 Collins Lane,,Louisville,KY,40245,,"Wendy's site 13874 Saint Louis, MO",5624 Telegraph Rd.,,Saint Louis,MO,63129,Store Manager,
"Barbarosa Foods, Ltd.",123176,1/26/2024,TS,6023273845,Mike.Crawley@wendys.com#mailto:Mike.Crawley@wendys.com,1100 NE Loop 410,Suite 900,San Antonio,TX,78209,,"Wendy's site 10829 Kanab, UT",301 South Fairway,,Kanab,UT,84741,Store Manager,
"Be Worthy Foods Akron, LLC",123345,1/5/2024,TS,4195664750,jworkman@beworthyfoods.com#mailto:jworkman@beworthyfoods.com,2268 W. 9th Street,,Cuyahoga Falls,OH,44221,,"Wendy's site 02127 Norton, OH",3178 Greenwich Rd.,,Norton,OH,44203,Store Manager,3308250430
"Big Red Wen, LLC",109071-3,12/1/2023,TS,4024325757,bryantcw@hotmail.com#mailto:bryantcw@hotmail.com,8601 Andermatt Drive,,Lincoln,NE,68526,,"Wendy's Site #10680 Percival, IA",2111 Sapp Bros Drive,,Percival,IA,51648,Store Manager,7123821585
